name,year,period,value
Crime Number of Murders ,2009,Jan,5
Crime Number of Murders ,2009,Feb,5
Crime Number of Murders ,2009,Mar,1
Crime Number of Murders ,2009,Apr,4
Crime Number of Murders ,2009,May,6
Crime Number of Murders ,2009,Jun,5
Crime Number of Murders ,2009,Jul,5
Crime Number of Murders ,2009,Aug,6
Crime Number of Murders ,2009,Sep,5
Crime Number of Murders ,2009,Oct,4
Crime Number of Murders ,2009,Nov,9
Crime Number of Murders ,2009,Dec,8
Crime Number of Murders ,2010,Jan,4
Crime Number of Murders ,2010,Feb,5
Crime Number of Murders ,2010,Mar,2
Crime Number of Murders ,2010,Apr,2
Crime Number of Murders ,2010,May,8
Crime Number of Murders ,2010,Jun,4
Crime Number of Murders ,2010,Jul,11
Crime Number of Murders ,2010,Aug,6
Crime Number of Murders ,2010,Sep,6
Crime Number of Murders ,2010,Oct,7
Crime Number of Murders ,2010,Nov,6
Crime Number of Murders ,2010,Dec,2
Crime Number of Murders ,2011,Jan,6
Crime Number of Murders ,2011,Feb,8
Crime Number of Murders ,2011,Mar,6
Crime Number of Murders ,2011,Apr,3
Crime Number of Murders ,2011,May,2
Crime Number of Murders ,2011,Jun,1
Crime Number of Murders ,2011,Jul,5
Crime Number of Murders ,2011,Aug,4
Crime Number of Murders ,2011,Sep,2
Crime Number of Murders ,2011,Oct,7
Crime Number of Murders ,2011,Nov,1
Crime Number of Murders ,2011,Dec,6
Crime Number of Murders ,2012,Jan,6
Crime Number of Murders ,2012,Feb,2
Crime Number of Murders ,2012,Mar,3
Crime Number of Murders ,2012,Apr,3
Crime Number of Murders ,2012,May,5
Crime Number of Murders ,2012,Jun,6
Crime Number of Murders ,2012,Jul,9
Crime Number of Murders ,2012,Aug,3
Crime Number of Murders ,2012,Sep,6
Crime Number of Murders ,2012,Oct,7
Crime Number of Murders ,2012,Nov,4
Crime Number of Murders ,2012,Dec,2
Crime Number of Murders ,2013,Jan,4
Crime Number of Murders ,2013,Feb,7
Crime Number of Murders ,2013,Mar,6
Crime Number of Murders ,2013,Apr,5
Crime Number of Murders ,2013,May,4
Crime Number of Murders ,2013,Jun,3
Crime Number of Murders ,2013,Jul,8
Crime Number of Murders ,2013,Aug,4
Crime Number of Murders ,2013,Sep,6
Crime Number of Murders ,2013,Oct,3
Crime Number of Murders ,2013,Nov,5
Crime Number of Murders ,2013,Dec,2
Crime Number of Murders ,2014,Jan,5
Crime Number of Murders ,2014,Feb,5
Crime Number of Murders ,2014,Mar,8
Crime Number of Murders ,2014,Apr,2
Crime Number of Murders ,2014,May,2
Crime Number of Murders ,2014,Jun,1
Crime Number of Murders ,2014,Jul,3
Crime Number of Murders ,2014,Aug,4
Crime Number of Murders ,2014,Sep,12
Crime Number of Murders ,2014,Oct,7
Crime Number of Murders ,2014,Nov,5
Crime Number of Murders ,2014,Dec,4
Crime Number of Murders ,2015,Jan,5
Crime Number of Murders ,2015,Feb,3
Crime Number of Murders ,2015,Mar,4
Crime Number of Murders ,2015,Apr,3
Crime Number of Murders ,2015,May,5
Crime Number of Murders ,2015,Jun,6
Crime Number of Murders ,2015,Jul,3
Crime Number of Murders ,2015,Aug,7
Crime Number of Murders ,2015,Sep,3
Crime Number of Murders ,2015,Oct,4
Crime Number of Murders ,2015,Nov,6
Crime Number of Murders ,2015,Dec,8
Crime Number of Murders ,2016,Jan,10
Crime Number of Murders ,2016,Feb,11
Crime Number of Murders ,2016,Mar,4
Crime Number of Murders ,2016,Apr,9
Crime Number of Murders ,2016,May,3
Crime Number of Murders ,2016,Jun,2
Crime Number of Murders ,2016,Jul,7
Crime Number of Murders ,2016,Aug,7
Crime Number of Murders ,2016,Sep,5
Crime Number of Murders ,2016,Oct,4
Crime Number of Murders ,2016,Nov,4
Crime Number of Murders ,2016,Dec,8
Crime Number of Murders ,2017,Jan,5
Crime Number of Murders ,2017,Feb,6
Crime Number of Murders ,2017,Mar,4
Crime Number of Murders ,2017,Apr,4
Crime Number of Murders ,2017,May,2
Crime Number of Murders ,2017,Jun,4
Crime Number of Murders ,2017,Jul,7
Crime Number of Murders ,2017,Aug,5
Crime Number of Murders ,2017,Sep,8
Crime Number of Murders ,2017,Oct,10
Crime Number of Murders ,2017,Nov,4
Crime Number of Murders ,2017,Dec,8
Crime Number of Murders ,2018,Jan,5
Crime Number of Murders ,2018,Feb,3
Crime Number of Murders ,2018,Mar,6
Crime Number of Murders ,2018,Apr,13
Crime Number of Murders ,2018,May,10
Crime Number of Murders ,2018,Jun,13
Crime Number of Murders ,2018,Jul,9
Crime Number of Murders ,2018,Aug,12
Crime Number of Murders ,2018,Sep,10
Crime Number of Murders ,2018,Oct,7
Crime Number of Murders ,2018,Nov,3
Crime Number of Murders ,2018,Dec,5
Crime Number of Murders ,2019,Jan,5
Crime Number of Murders ,2019,Feb,5
Crime Number of Murders ,2019,Mar,6
Crime Number of Murders ,2019,Apr,5
Crime Number of Murders ,2019,May,4
Crime Number of Murders ,2019,Jun,7
